,element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Acc
236,Fe,1,448.0271,0.0003,448.02703,3e-05,158,
237,Fe,1,440.7657,0.0003,440.76567,3e-05,158,
238,Fe,1,435.8684,0.0003,435.86835,3e-05,155,
239,Fe,1,441.4931,0.0003,441.49315,3e-05,151,
240,Fe,1,448.5972,0.0003,448.59695,3e-05,151,E
241,Fe,1,447.80179,0.00016,447.80174,3e-05,151,E
242,Fe,1,439.0752,0.0004,439.07509,4e-05,151,
243,Fe,1,425.9336,0.0003,425.93364,3e-05,151,D+
244,Fe,1,454.70166,6e-05,454.70169,3e-05,148,E
245,Fe,1,429.2117,0.0003,429.2117,3e-05,145,
246,Fe,1,444.0479,0.0003,444.04789,3e-05,145,E
247,Fe,1,454.06719,0.00017,454.06716,5e-05,145,
248,Fe,1,439.309,0.0004,439.30914,4e-05,141,
249,Fe,1,450.063,0.0004,450.06348,5e-05,141,
250,Fe,1,437.5476,0.0004,437.54768,4e-05,141,D+
251,Fe,1,441.8419,0.0003,441.84194,3e-05,138,
252,Fe,1,452.8479,0.0004,452.84788,5e-05,135,
253,Fe,1,425.6205,0.0003,425.62001,3e-05,135,
254,Fe,1,447.1677,0.0003,447.1676,3e-05,132,A
255,Fe,1,430.6578,0.0004,430.65796,3e-05,129,
256,Fe,1,456.68665,0.00017,456.6865,5e-05,129,
257,Fe,1,431.7047,0.0003,431.70482,3e-05,129,E
258,Fe,1,449.337,0.0003,449.33711,5e-05,129,
259,Fe,1,451.4416,0.0003,451.44149,6e-05,129,
260,Fe,1,430.5131,0.0003,430.51336,3e-05,120,
261,Fe,1,454.19413,0.00017,454.19422,3e-05,120,E
262,Fe,1,442.4068,0.0004,442.40673,3e-05,120,C
263,Fe,1,432.0483,0.0004,432.0486,3e-05,120,
264,Fe,1,426.7389,0.0004,426.73914,6e-05,120,
265,Fe,1,456.1414,0.00017,456.14132,5e-05,120,
266,Fe,1,430.0206,0.0004,430.02036,3e-05,115,E
267,Fe,1,427.987,0.0003,427.98685,4e-05,115,D
268,Fe,1,449.9136,0.0003,449.91353,5e-05,110,
269,Fe,1,448.7736,0.0003,448.77372,3e-05,110,E
